@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Circle_3, Rectangle_5, Triangle_5, Rectangle_4, Square_5, Triangle_3, Triangle_4, Circle_5, Square_4, Circle_4, Rectangle_3, Square_3}

@data
1, 3, -3399, 90.53, 111.27, 95.48, 82.97, 155.36, 38.69, 62.55, 76.68, 29.56, 81.39, 28.66, 90.53, 90.53, 90.53, 90.53, 0, 2.09, 1.91, 1.6, 2.77, 0.61, Rectangle_5
1, 3, -2024.5, 41.21, 69.79, 67.74, 61.47, 80.16, 9.51, 40.27, 41.92, 33.84, 45.03, 5.77, 41.21, 41.21, 41.21, 41.21, 0, 2.09, 2.05, 1.88, 2.35, 0.23, Triangle_4
1, 3, -2398, 45.72, 76.55, 69.87, 69.57, 90.21, 11.83, 44.12, 48.39, 35.44, 48.53, 7.52, 45.72, 45.72, 45.72, 45.72, 0, 2.09, 1.95, 1.94, 2.39, 0.26, Triangle_4
1, 3, -3948, 67.28, 104.11, 94.85, 83.82, 133.66, 26.18, 59.68, 67.32, 39.69, 72.03, 17.47, 67.28, 67.28, 67.28, 67.28, 0, 2.09, 1.97, 1.74, 2.57, 0.43, Square_4
1, 3, -4328.5, 66.64, 106.46, 94.79, 91.35, 133.24, 23.25, 61.15, 69.29, 43.34, 70.82, 15.44, 66.64, 66.64, 66.64, 66.64, 0, 2.09, 1.92, 1.85, 2.51, 0.36, Square_4
1, 3, -1618, 57.25, 74.87, 70.38, 50.99, 103.24, 26.41, 42.53, 48.95, 22.24, 56.4, 17.96, 57.25, 57.25, 57.25, 57.25, 0, 2.09, 2.11, 1.44, 2.74, 0.65, Rectangle_3
1, 3, -1496, 56.5, 72.17, 62.1, 54.49, 99.92, 24.34, 40.69, 49.5, 20.18, 52.4, 17.82, 56.5, 56.5, 56.5, 56.5, 0, 2.09, 1.91, 1.63, 2.75, 0.58, Rectangle_3
1, 3, -3515, 53.23, 91.18, 94.02, 79.91, 99.62, 10.16, 52.66, 51.4, 47.76, 58.83, 5.64, 53.23, 53.23, 53.23, 53.23, 0, 2.09, 2.16, 1.87, 2.25, 0.2, Triangle_5
1, 3, -3536.5, 53.47, 91.52, 93.52, 80.31, 100.72, 10.35, 52.85, 52.11, 47.43, 59, 5.82, 53.47, 53.47, 53.47, 53.47, 0, 2.09, 2.14, 1.88, 2.27, 0.2, Triangle_5
1, 3, -1631, 36.87, 62.72, 67.8, 51.62, 68.73, 9.62, 36.26, 33.63, 33, 42.13, 5.1, 36.87, 36.87, 36.87, 36.87, 0, 2.09, 2.24, 1.77, 2.27, 0.28, Triangle_3
1, 3, -1716, 37.9, 64.32, 66, 54.12, 72.84, 9.47, 37.15, 36.68, 32.08, 42.68, 5.31, 37.9, 37.9, 37.9, 37.9, 0, 2.09, 2.15, 1.81, 2.32, 0.26, Triangle_3
1, 3, -2849.5, 50.85, 84.2, 78.57, 73, 101.04, 14.85, 48.51, 52.6, 37.7, 55.21, 9.45, 50.85, 50.85, 50.85, 50.85, 0, 2.09, 1.99, 1.86, 2.43, 0.3, Square_3
1, 3, -2514, 51.72, 81.85, 76.03, 66.22, 103.31, 19.22, 47.02, 52, 32.76, 56.29, 12.53, 51.72, 51.72, 51.72, 51.72, 0, 2.09, 2, 1.75, 2.53, 0.4, Square_3
1, 3, -2512.5, 48.14, 80.07, 87.32, 59.03, 93.86, 18.51, 46.39, 43.42, 38.6, 57.14, 9.62, 48.14, 48.14, 48.14, 48.14, 0, 2.09, 2.28, 1.6, 2.4, 0.43, Circle_3
1, 3, -2508.5, 53.58, 85.74, 101.02, 50.21, 105.99, 30.87, 50.19, 43.85, 39.75, 66.96, 14.67, 53.58, 53.58, 53.58, 53.58, 0, 2.09, 2.46, 1.29, 2.54, 0.7, Circle_3
1, 3, -2157.5, 78.26, 91.2, 74.95, 70.09, 128.55, 32.44, 50.98, 64.34, 22.45, 66.14, 24.72, 78.26, 78.26, 78.26, 78.26, 0, 2.09, 1.82, 1.66, 2.8, 0.61, Rectangle_4
1, 3, -2404, 75.31, 93.06, 76.03, 73.41, 129.76, 31.8, 52.27, 65.55, 24.72, 66.54, 23.86, 75.31, 75.31, 75.31, 75.31, 0, 2.09, 1.8, 1.72, 2.77, 0.58, Rectangle_4
1, 3, -4700, 79.65, 123.72, 148.76, 63.25, 159.15, 52.63, 72.97, 63.71, 54.7, 100.51, 24.27, 79.65, 79.65, 79.65, 79.65, 0, 2.09, 2.54, 1.12, 2.63, 0.85, Circle_5
1, 3, -4624, 79.28, 123.56, 151.65, 61.29, 157.75, 54.01, 73.07, 61.72, 56.4, 101.11, 24.42, 79.28, 79.28, 79.28, 79.28, 0, 2.09, 2.57, 1.09, 2.62, 0.87, Circle_5
3, 3, -6285, 71.29, 121.9, 118, 111.61, 136.09, 12.7, 70.35, 73.05, 61.68, 76.33, 7.69, 71.29, 71.29, 71.29, 71.29, 0, 2.09, 2.04, 1.95, 2.29, 0.18, Square_4
3, 3, -6162, 70.46, 120.65, 121.21, 107.62, 133.14, 12.77, 69.66, 69.86, 62.2, 76.92, 7.36, 70.46, 70.46, 70.46, 70.46, 0, 2.09, 2.11, 1.9, 2.27, 0.18, Square_4
3, 3, -1998.5, 39.57, 68.24, 68.6, 63.51, 72.62, 4.57, 39.4, 39.31, 36.83, 42.06, 2.62, 39.57, 39.57, 39.57, 39.57, 0, 2.09, 2.11, 1.97, 2.2, 0.12, Rectangle_3
3, 3, -2130, 41.8, 71.34, 75.69, 60.3, 78.03, 9.63, 41.22, 39.05, 37.48, 47.14, 5.19, 41.8, 41.8, 41.8, 41.8, 0, 2.09, 2.21, 1.81, 2.26, 0.24, Rectangle_3
3, 3, -7778, 82.46, 138.13, 134.71, 117.29, 162.37, 22.73, 79.67, 83.06, 64.5, 91.45, 13.79, 82.46, 82.46, 82.46, 82.46, 0, 2.09, 2.07, 1.83, 2.39, 0.28, Square_5
3, 3, -7695, 81.77, 137.04, 126.32, 123.58, 161.22, 20.98, 78.99, 86.01, 63.66, 87.32, 13.3, 81.77, 81.77, 81.77, 81.77, 0, 2.09, 1.97, 1.93, 2.39, 0.26, Square_5
3, 3, -3226.5, 61.34, 98.01, 117.63, 55.8, 120.6, 36.58, 57.48, 48.85, 46.38, 77.21, 17.13, 61.34, 61.34, 61.34, 61.34, 0, 2.09, 2.5, 1.25, 2.53, 0.73, Triangle_4
3, 3, -3041.5, 65.36, 101.64, 127.44, 48.3, 129.19, 46.2, 60.31, 49.22, 47.68, 84.02, 20.55, 65.36, 65.36, 65.36, 65.36, 0, 2.09, 2.61, 1.04, 2.63, 0.91, Triangle_4
3, 3, -3758, 55.67, 94.74, 93.86, 83.23, 107.12, 11.97, 54.68, 55.77, 47.14, 61.14, 7.06, 55.67, 55.67, 55.67, 55.67, 0, 2.09, 2.09, 1.88, 2.32, 0.22, Square_3
3, 3, -3315, 52.92, 89.39, 82.49, 82.22, 103.46, 12.19, 51.55, 55.9, 42.72, 56.04, 7.65, 52.92, 52.92, 52.92, 52.92, 0, 2.09, 1.97, 1.96, 2.36, 0.23, Square_3
3, 3, -8035.5, 83.67, 140.27, 136.62, 119.57, 164.62, 22.75, 80.91, 84.41, 65.68, 92.64, 13.82, 83.67, 83.67, 83.67, 83.67, 0, 2.09, 2.06, 1.83, 2.39, 0.28, Circle_5
3, 3, -6740, 86.36, 136.82, 144.42, 93.34, 172.71, 40.22, 79.19, 79.04, 57.07, 101.47, 22.2, 86.36, 86.36, 86.36, 86.36, 0, 2.09, 2.25, 1.48, 2.55, 0.55, Circle_5
3, 3, -3428, 54.35, 91.69, 97.05, 73.38, 104.66, 16.32, 53.01, 50.84, 45.52, 62.68, 8.78, 54.35, 54.35, 54.35, 54.35, 0, 2.09, 2.21, 1.73, 2.34, 0.32, Circle_3
3, 3, -3480, 53.93, 91.43, 89.74, 80, 104.56, 12.37, 52.76, 54.38, 44.69, 59.23, 7.4, 53.93, 53.93, 53.93, 53.93, 0, 2.09, 2.07, 1.87, 2.34, 0.23, Circle_3
3, 3, -4761, 77.22, 122.05, 149.27, 64.76, 152.12, 49.63, 71.89, 59.99, 57.55, 98.12, 22.75, 77.22, 77.22, 77.22, 77.22, 0, 2.09, 2.54, 1.17, 2.57, 0.8, Triangle_5
3, 3, -5459, 77.99, 125.62, 151.16, 74.53, 151.17, 44.25, 73.51, 61.43, 61.42, 97.67, 20.92, 77.99, 77.99, 77.99, 77.99, 0, 2.09, 2.49, 1.3, 2.49, 0.68, Triangle_5
3, 3, -4417, 59.84, 102.3, 101.97, 91.08, 113.85, 11.39, 59.06, 59.74, 52.09, 65.34, 6.65, 59.84, 59.84, 59.84, 59.84, 0, 2.09, 2.1, 1.9, 2.29, 0.19, Rectangle_5
3, 3, -4595.5, 62.04, 105.2, 105.95, 89.81, 119.85, 15.04, 60.74, 61.13, 51.87, 69.21, 8.68, 62.04, 62.04, 62.04, 62.04, 0, 2.09, 2.12, 1.83, 2.33, 0.25, Rectangle_5
3, 3, -3368, 52.11, 89.27, 92.91, 77.88, 97.02, 10.08, 51.56, 49.8, 47.12, 57.76, 5.53, 52.11, 52.11, 52.11, 52.11, 0, 2.09, 2.17, 1.87, 2.25, 0.2, Rectangle_4
3, 3, -3411.5, 53.74, 90.91, 92.44, 76.24, 104.05, 13.97, 52.5, 52.42, 44.58, 60.49, 7.95, 53.74, 53.74, 53.74, 53.74, 0, 2.09, 2.14, 1.8, 2.34, 0.27, Rectangle_4
3, 3, -5704, 68.52, 116.75, 119.4, 100.24, 130.61, 15.36, 67.43, 66.63, 59.21, 76.44, 8.64, 68.52, 68.52, 68.52, 68.52, 0, 2.09, 2.14, 1.84, 2.3, 0.23, Circle_4
3, 3, -5919, 71.44, 120.61, 130.55, 95.26, 136.01, 22.12, 69.77, 65.07, 61.22, 83.01, 11.63, 71.44, 71.44, 71.44, 71.44, 0, 2.09, 2.25, 1.71, 2.32, 0.34, Circle_4
3, 3, -2013.5, 47.25, 75.97, 88.28, 46.1, 93.52, 26, 44.37, 39.37, 35.1, 58.64, 12.54, 47.25, 47.25, 47.25, 47.25, 0, 2.09, 2.43, 1.33, 2.52, 0.66, Triangle_3
3, 3, -2475, 51.28, 83.19, 97.02, 52.09, 100.46, 26.99, 48.53, 42.43, 39.66, 63.51, 13.04, 51.28, 51.28, 51.28, 51.28, 0, 2.09, 2.43, 1.37, 2.48, 0.63, Triangle_3
4, 3, -4742, 80.97, 118.42, 106.08, 92.28, 156.89, 34.03, 67.57, 78.18, 40.72, 83.81, 23.43, 80.97, 80.97, 80.97, 80.97, 0, 2.09, 1.96, 1.69, 2.64, 0.49, Rectangle_5
4, 3, -3695.5, 87.54, 113.09, 101.12, 81.91, 156.24, 38.58, 63.94, 76.02, 32.42, 83.37, 27.54, 87.54, 87.54, 87.54, 87.54, 0, 2.09, 1.99, 1.55, 2.74, 0.6, Rectangle_5
4, 3, -2095.5, 49.25, 75.95, 67.96, 62.17, 97.72, 19.07, 43.51, 49.68, 28.71, 52.14, 12.88, 49.25, 49.25, 49.25, 49.25, 0, 2.09, 1.94, 1.77, 2.57, 0.42, Rectangle_3
4, 3, -1701.5, 49.17, 71.2, 59.68, 59.2, 94.7, 20.36, 40.55, 48.75, 23.96, 48.94, 14.37, 49.17, 49.17, 49.17, 49.17, 0, 2.09, 1.83, 1.81, 2.65, 0.48, Rectangle_3
4, 3, -3051, 66.13, 95.77, 87.32, 72.5, 127.49, 28.45, 54.64, 62.71, 32.5, 68.72, 19.41, 66.13, 66.13, 66.13, 66.13, 0, 2.09, 2, 1.64, 2.65, 0.51, Square_4
4, 3, -3546, 63.88, 98.69, 88.75, 80.5, 126.83, 24.71, 56.55, 64.34, 37.46, 67.86, 16.63, 63.88, 63.88, 63.88, 63.88, 0, 2.09, 1.95, 1.77, 2.57, 0.42, Square_4
4, 3, -3107.5, 49.76, 85.48, 88.6, 76.06, 91.79, 8.31, 49.37, 47.81, 45.76, 54.53, 4.59, 49.76, 49.76, 49.76, 49.76, 0, 2.09, 2.16, 1.9, 2.22, 0.17, Triangle_5
