@relation features_0_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Triangle_5,Square_5,Triangle_3,Circle_3,Rectangle_5,Circle_4,Rectangle_4,Circle_5,Triangle_4,Square_3,Square_4,Rectangle_3}

@data
-3516.5,52.13,90.21,90.09,87.42,93.11,2.85,52.08,52.18,50.39,53.68,52.13,2.09,2.04,2.15,Triangle_5
-1733,52.36,74.5,74.97,48.3,100.24,25.97,42.8,46.12,25.51,56.77,52.36,2.22,1.38,2.68,Rectangle_3
-4165,64.18,103.83,98.99,84.17,128.32,22.47,59.76,64.38,43.85,71.06,64.18,2.04,1.75,2.49,Square_4
-3554,52.57,90.83,92.35,85.59,94.56,4.67,52.44,51.64,50.29,55.39,52.57,2.12,1.99,2.17,Triangle_5
-7041,79.69,132.88,138.97,103.25,156.42,27.1,76.82,75.23,62.79,92.44,79.69,2.2,1.68,2.4,Circle_5
-2463,44.45,76.2,76.69,68.26,83.65,7.7,44,44.01,39.56,48.41,44.45,2.11,1.91,2.26,Triangle_4
-3715.5,85.23,111.77,93.09,88.53,153.71,36.39,63.11,77.65,32.28,79.4,85.23,1.83,1.72,2.73,Rectangle_5
-5257.5,78.13,120.4,108.6,97.62,154.99,30.45,68.98,78.39,45.49,83.07,78.13,1.95,1.76,2.57,Square_5
-3457,85.56,109.7,96.67,80.62,151.8,37.33,61.94,74.34,31,80.47,85.56,1.96,1.57,2.75,Rectangle_5
-2990,49.74,84.53,81.84,75.58,96.17,10.55,48.78,50.8,41.6,53.93,49.74,2.05,1.91,2.33,Circle_3
-2666,50.16,82.22,78.49,68.12,100.04,16.29,47.36,50.7,35.89,55.48,50.16,2.04,1.79,2.46,Square_3
-2484.5,48.2,79.11,72.18,69.03,96.13,14.82,45.54,50.33,34.49,51.79,48.2,1.95,1.88,2.45,Square_3
-6390,79.44,129.92,140.41,91.78,157.56,34.12,75.29,72.1,59.11,94.67,79.44,2.28,1.54,2.47,Circle_5
-1847,50.66,74.07,67.8,56.22,98.18,21.67,42.3,48.31,25.55,53.03,50.66,2,1.64,2.64,Rectangle_3
-2429.5,43.61,75.23,78.16,69.35,78.19,5.09,43.44,41.82,41.8,46.71,43.61,2.16,1.96,2.16,Triangle_4
-4350,63.97,104.81,94.34,92.42,127.68,19.82,60.32,67.32,45.44,68.2,63.97,1.93,1.89,2.46,Square_4
-4743,65.4,109.22,117,83.19,127.49,23.15,63.21,60.24,52.67,76.71,65.4,2.24,1.65,2.39,Circle_4
