TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-4427.5,83.03,126.55,157.31,56.3,166.03,60.99,75.36,63.88,56.04,106.17,83.03,2.62,0.97,2.69,Circle_5
-4034.5,59.0,99.57,107.04,78.85,112.81,18.17,57.59,54.19,50.14,68.43,59.0,2.24,1.71,2.33,Triangle_5
-6749.0,62.53,100.53,107.21,37.64,141.17,39.0,63.1,55.34,49.76,91.96,66.56,1.66,0.71,2.25,Square_4
-8512.0,73.52,110.11,123.07,41.88,147.15,38.34,69.0,63.69,54.0,94.62,73.86,1.72,0.75,2.1,Square_4
-3453.5,73.01,111.96,141.43,49.04,145.41,54.53,66.79,54.87,51.28,94.22,73.01,2.64,0.96,2.68,Rectangle_4
-4229.0,67.04,108.59,124.74,68.71,132.32,34.75,63.3,56.67,50.61,82.61,67.04,2.4,1.39,2.5,Circle_4
-1764.0,66.96,88.28,104.79,36.5,123.55,45.81,52.44,49.68,32.25,75.39,66.96,2.64,0.82,2.82,Rectangle_3
-4151.0,61.04,102.03,108.85,78.26,118.96,21.19,59.03,56.48,49.21,71.4,61.04,2.23,1.66,2.39,Triangle_5
-3414.0,53.54,90.74,91.76,77.03,103.45,13.24,52.4,52.54,44.73,59.92,53.54,2.13,1.82,2.33,Circle_3
-5089.0,82.97,127.43,147.41,69.12,165.76,51.32,74.74,68.94,53.27,102.0,82.97,2.47,1.18,2.64,Circle_5
-2754.0,49.22,82.39,82.38,68.0,96.8,14.4,47.55,48.54,38.66,55.47,49.22,2.11,1.78,2.39,Triangle_4
-5492.5,57.99,87.86,99.02,42.94,118.0,29.22,54.64,50.14,41.61,76.69,58.57,1.64,0.99,2.01,Square_3
-2866.5,49.31,83.32,82.98,71.01,95.96,12.48,48.09,49.01,40.34,54.92,49.31,2.1,1.83,2.35,Triangle_4
-4534.0,82.72,126.01,153.56,59.06,165.42,58.29,74.73,65.09,54.54,104.56,82.72,2.58,1.02,2.68,Circle_5
-2712.0,69.42,104.34,133.6,40.61,138.81,55.25,62.75,51.62,46.82,89.81,69.42,2.7,0.85,2.74,Rectangle_4
-2838.0,68.49,104.32,134.62,42.52,135.83,53.53,62.56,49.88,48.77,89.03,68.49,2.69,0.89,2.7,Rectangle_4
-1841.0,43.65,69.95,69.77,52.77,87.3,17.26,40.32,42.09,29.22,49.66,43.65,2.13,1.64,2.51,Triangle_3
-3409.0,84.61,124.78,163.42,41.73,169.2,71.99,75.85,61.49,56.04,110.01,84.61,2.76,0.72,2.8,Rectangle_5
