@relation features_1_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Circle_4,Rectangle_5,Circle_5,Triangle_4,Triangle_5,Circle_3,Square_5,Square_4,Square_3,Triangle_3,Rectangle_3,Rectangle_4}

@data
-2407,43.8,75.18,72.14,70.66,82.73,6.59,43.39,45.3,38.8,46.07,43.8,2.03,1.99,2.26,Triangle_4
-2101.5,41.33,70.56,66.31,66.07,79.31,7.58,40.72,43.35,35.33,43.47,41.33,1.99,1.99,2.3,Triangle_4
-5368,78.61,123.84,134.46,79.85,157.2,39.75,71.89,70,51.85,93.81,78.61,2.31,1.4,2.57,Square_5
-4955.5,78.76,120.95,128.75,77.37,156.73,40.25,70.07,70.34,47.8,92.07,78.76,2.29,1.38,2.61,Square_5
-2481.5,49.82,81.39,89.59,55.97,98.62,22.47,47.24,44.33,37.41,59.97,49.82,2.31,1.5,2.47,Circle_3
-2327.5,48.27,79.05,89.19,53.15,94.81,22.6,45.95,41.73,37.37,58.75,48.27,2.36,1.47,2.46,Circle_3
-3863,88.19,114.66,97.42,88.51,158.05,37.84,64.72,78.98,32.78,82.4,88.19,1.88,1.67,2.73,Rectangle_5
-3626,90.85,113.63,95.88,86.95,158.05,38.73,63.92,78.8,30.78,82.18,90.85,1.87,1.65,2.76,Rectangle_5
-2506,73.72,93.57,77.47,73.54,129.71,31.36,52.68,65.37,25.8,66.87,73.72,1.82,1.71,2.75,Rectangle_4
-2347,73.4,91.53,76.55,70.66,127.39,31.19,51.47,63.76,24.67,65.98,73.4,1.85,1.67,2.76,Rectangle_4
-2236,70.88,89.21,78.59,65.07,123.98,30.86,50.3,60.58,24.61,65.71,70.88,1.97,1.56,2.76,Rectangle_4
-2299.5,72.57,90.82,80.28,65.8,126.37,31.63,51.19,61.6,24.9,67.08,72.57,1.98,1.54,2.76,Rectangle_4
