Participant	FingersCount	TouchArea	SmallestInscribedCircleRadius	MeanPairedDistance	MedianPairedDistance	MinPairedDistance	MaxPairedDistance	SDPairedDistance	MeanCentroidVertexDistance	MedianCentroidVertexDistance	MinCentroidVertexDistance	MaxCentroidVertexDistance	SDCentroidVertexDistance	MeanCircleCenterVertexDistance	MedianCircleCenterVertexDistance	MinCircleCenterVertexDistance	MaxCircleCenterVertexDistance	SDCircleCenterVertexDistance	MeanAngleSuccessiveVertices	MedianAngleSuccessiveVertices	MinAngleSuccessiveVertices	MaxAngleSuccessiveVertices	SDAngleSuccessiveVertices	class
0	3	-2666	50.16	82.22	78.49	68.12	100.04	16.29	47.36	50.7	35.89	55.48	10.21	50.16	50.16	50.16	50.16	0	2.09	2.04	1.79	2.46	0.34	Square_3
0	3	-2484.5	48.2	79.11	72.18	69.03	96.13	14.82	45.54	50.33	34.49	51.79	9.59	48.2	48.2	48.2	48.2	0	2.09	1.95	1.88	2.45	0.31	Square_3
0	3	-6390	79.44	129.92	140.41	91.78	157.56	34.12	75.29	72.1	59.11	94.67	17.99	79.44	79.44	79.44	79.44	0	2.09	2.28	1.54	2.47	0.49	Circle_5
0	3	-1847	50.66	74.07	67.8	56.22	98.18	21.67	42.3	48.31	25.55	53.03	14.69	50.66	50.66	50.66	50.66	0	2.09	2	1.64	2.64	0.51	Rectangle_3
0	3	-2429.5	43.61	75.23	78.16	69.35	78.19	5.09	43.44	41.82	41.8	46.71	2.83	43.61	43.61	43.61	43.61	0	2.09	2.16	1.96	2.16	0.12	Triangle_4
0	3	-4350	63.97	104.81	94.34	92.42	127.68	19.82	60.32	67.32	45.44	68.2	12.89	63.97	63.97	63.97	63.97	0	2.09	1.93	1.89	2.46	0.32	Square_4
0	3	-4743	65.4	109.22	117	83.19	127.49	23.15	63.21	60.24	52.67	76.71	12.29	65.4	65.4	65.4	65.4	0	2.09	2.24	1.65	2.39	0.39	Circle_4
0	3	-4814	65.59	109.76	117.32	84.38	127.58	22.57	63.5	60.58	53.22	76.71	12.02	65.59	65.59	65.59	65.59	0	2.09	2.24	1.67	2.38	0.38	Circle_4
0	3	-7955	81.49	138.35	140.94	117.39	156.73	19.8	79.9	79.46	68.9	91.34	11.22	81.49	81.49	81.49	81.49	0	2.09	2.14	1.82	2.32	0.25	Circle_5
0	3	-7740.5	80.36	136.48	140.04	115.26	154.15	19.68	78.83	77.8	68.34	90.34	11.04	80.36	80.36	80.36	80.36	0	2.09	2.15	1.81	2.32	0.26	Circle_5
0	3	-4772.5	81.93	119.06	103.23	95.8	158.15	34.06	67.85	80.09	40.36	83.11	23.86	81.93	81.93	81.93	81.93	0	2.09	1.89	1.75	2.64	0.48	Rectangle_5
0	3	-4829.5	80.83	118.84	102.2	97.31	157	33.14	67.78	80.13	41.07	82.14	23.16	80.83	80.83	80.83	80.83	0	2.09	1.87	1.78	2.63	0.47	Rectangle_5
