@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Circle_4, Rectangle_5, Circle_5, Triangle_4, Triangle_5, Circle_3, Square_5, Square_4, Square_3, Triangle_3, Rectangle_3, Rectangle_4}

@data
1, 3, -3304, 63.97, 101.12, 121.85, 54.71, 126.81, 40.27, 59.47, 50.88, 46.67, 80.87, 18.65, 63.97, 63.97, 63.97, 63.97, 0, 2.09, 2.52, 1.19, 2.58, 0.79, Circle_4
1, 3, -5441, 78.36, 124.61, 138.76, 78.49, 156.59, 40.92, 72.52, 68.4, 54.07, 95.09, 20.82, 78.36, 78.36, 78.36, 78.36, 0, 2.09, 2.36, 1.37, 2.55, 0.63, Circle_5
1, 3, -1753.5, 87.94, 88.93, 71.87, 67.19, 127.74, 33.69, 49.14, 63.68, 18.38, 65.36, 26.65, 87.94, 87.94, 87.94, 87.94, 0, 2.09, 1.8, 1.62, 2.86, 0.67, Rectangle_4
1, 3, -3620, 91.52, 113.91, 96.8, 86.31, 158.62, 39.07, 64.07, 78.78, 30.7, 82.74, 28.97, 91.52, 91.52, 91.52, 91.52, 0, 2.09, 1.89, 1.63, 2.76, 0.59, Rectangle_5
1, 3, -3604, 53.73, 92.16, 93.92, 82.05, 100.5, 9.35, 53.22, 52.54, 48.31, 58.79, 5.27, 53.73, 53.73, 53.73, 53.73, 0, 2.09, 2.13, 1.9, 2.25, 0.18, Triangle_5
1, 3, -2614, 72.52, 94.36, 81.41, 71.61, 130.06, 31.3, 53.29, 64.52, 27.07, 68.28, 22.78, 72.52, 72.52, 72.52, 72.52, 0, 2.09, 1.91, 1.64, 2.73, 0.57, Rectangle_4
1, 3, -1233, 59.13, 69.34, 62.64, 47.63, 97.74, 25.72, 38.97, 46.81, 17.74, 52.37, 18.6, 59.13, 59.13, 59.13, 59.13, 0, 2.09, 2.06, 1.43, 2.8, 0.69, Rectangle_3
1, 3, -1461.5, 36.62, 60.94, 65.76, 45.49, 71.57, 13.69, 35.28, 33.43, 29.19, 43.24, 7.21, 36.62, 36.62, 36.62, 36.62, 0, 2.09, 2.26, 1.62, 2.4, 0.42, Triangle_3
1, 3, -4200, 86.59, 116.83, 97.19, 93.91, 159.39, 36.89, 66.12, 80.97, 35.16, 82.25, 26.83, 86.59, 86.59, 86.59, 86.59, 0, 2.09, 1.82, 1.75, 2.71, 0.53, Rectangle_5
1, 3, -2494, 49.88, 81.86, 94.15, 54.56, 96.88, 23.68, 47.62, 41.98, 39.86, 61.03, 11.66, 49.88, 49.88, 49.88, 49.88, 0, 2.09, 2.39, 1.46, 2.44, 0.55, Circle_3
